epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,32787.9,0.66456,1.75007,0.20831,0.30013,0.01109,-0.14778,0.98024,0.9763,0.99181,0.91608,0.9174,0.90302,0.93092,0.83062,0.50353,1.1962,0.06313,0.18327,0.0108,0,0.0114558,0.0038186,0.0114558,0.0038186,0.0114558,0.0038186,0.0114558,0.0038186
64,33242.8,0.66167,1.72112,0.20303,0.30083,0.011,-0.19729,0.98012,0.97617,0.99173,0.91673,0.91829,0.90468,0.93153,0.83163,0.5029,1.19334,0.06303,0.18256,0.01078,0,0.0111567,0.0037189,0.0111567,0.0037189,0.0111567,0.0037189,0.0111567,0.0037189
65,33699.1,0.65547,1.70419,0.207,0.29804,0.01082,-0.32343,0.98015,0.97579,0.99172,0.91741,0.92779,0.89741,0.93237,0.83256,0.50188,1.18966,0.06288,0.18227,0.01075,0,0.0108576,0.0036192,0.0108576,0.0036192,0.0108576,0.0036192,0.0108576,0.0036192
66,34150.4,0.65854,1.73707,0.20626,0.30163,0.01071,-0.27961,0.97914,0.97604,0.99174,0.91772,0.92776,0.89805,0.93257,0.83325,0.50119,1.18652,0.06271,0.18223,0.01074,0,0.0105585,0.0035195,0.0105585,0.0035195,0.0105585,0.0035195,0.0105585,0.0035195
67,34619.2,0.65822,1.72616,0.20558,0.30153,0.0109,-0.24593,0.98016,0.97582,0.99182,0.91768,0.92804,0.89767,0.93298,0.83419,0.50018,1.18256,0.06256,0.18158,0.01071,0,0.0102594,0.0034198,0.0102594,0.0034198,0.0102594,0.0034198,0.0102594,0.0034198
68,35080.4,0.66681,1.71332,0.20142,0.30252,0.01108,-0.28644,0.98062,0.97566,0.99205,0.91819,0.92782,0.89805,0.93328,0.83517,0.4992,1.17908,0.06242,0.18073,0.01069,0,0.0099603,0.0033201,0.0099603,0.0033201,0.0099603,0.0033201,0.0099603,0.0033201
69,35540.1,0.64471,1.65461,0.20436,0.29936,0.01072,-0.36098,0.98039,0.97515,0.99183,0.91833,0.92684,0.8992,0.93335,0.83586,0.4987,1.17489,0.06217,0.18142,0.01067,0,0.0096612,0.0032204,0.0096612,0.0032204,0.0096612,0.0032204,0.0096612,0.0032204
70,36007,0.64698,1.64233,0.20543,0.29287,0.01077,-0.38256,0.98252,0.97394,0.99177,0.91878,0.92672,0.90087,0.93431,0.83709,0.49746,1.17132,0.06198,0.18158,0.01065,0,0.0093621,0.0031207,0.0093621,0.0031207,0.0093621,0.0031207,0.0093621,0.0031207
71,36463.8,0.65015,1.62943,0.2009,0.29553,0.01075,-0.37728,0.97976,0.97515,0.99173,0.91876,0.92814,0.89971,0.9351,0.83772,0.49704,1.1678,0.06166,0.18184,0.01064,0,0.009063,0.003021,0.009063,0.003021,0.009063,0.003021,0.009063,0.003021
72,36918.6,0.63775,1.62481,0.1999,0.28153,0.01054,-0.46442,0.98113,0.97426,0.99179,0.91881,0.9277,0.90213,0.93528,0.83824,0.49607,1.16316,0.06148,0.18159,0.01061,0,0.0087639,0.0029213,0.0087639,0.0029213,0.0087639,0.0029213,0.0087639,0.0029213
73,37370.6,0.63097,1.58323,0.20258,0.29392,0.01049,-0.56943,0.98161,0.97464,0.99193,0.91932,0.92852,0.90238,0.93647,0.83909,0.49495,1.15956,0.0612,0.18121,0.01059,0,0.0084648,0.0028216,0.0084648,0.0028216,0.0084648,0.0028216,0.0084648,0.0028216
74,37826.4,0.63232,1.56079,0.19589,0.28639,0.01058,-0.6045,0.98154,0.9755,0.99186,0.91953,0.92814,0.90366,0.93716,0.84011,0.49388,1.15579,0.06093,0.18092,0.01057,0,0.0081657,0.0027219,0.0081657,0.0027219,0.0081657,0.0027219,0.0081657,0.0027219
